Assembly Accession	Assembly BioSample Geographic location	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Isolation source	Assembly Stats GC Percent	Assembly Stats Total Sequence Length	Organelle Assembly Name	Organism Name	Organism Taxonomic ID	Annotation Count Gene Protein-coding
GCF_035918095.1	Denmark: Kulhuse, Jaegerspris, grassy field				69.5	8982053		Streptomyces sp. NBC_01750	2975928	7736
GCF_035918115.1	Denmark: Kulhuse, Jaegerspris, grassy field near lake				71.5	7998820		Streptomyces cyaneofuscatus	66883	6943
GCF_035953295.1	Denmark: Hilleroed, Ny Hammersholt, Fireweed rhizome, by bog				72	8361142		Streptomyces sp. NBC_01335	2903828	6861
GCF_035954115.1	Denmark: Birkeroed, Raavaenget 34, near Sct. Hansurt 1				71.5	8874522		Streptomyces anulatus	1892	7615
GCF_035957715.1	Germany: Dorsten, Germany, garden				70	11713170		Streptomyces phaeochromogenes	1923	9947
GCF_035974335.1	Denmark: Livoe, old tree				70	8221523		Streptomyces sp. NBC_01321	2903825	6950
GCF_035974355.1	Denmark: Ejerslev, Nykoebing Mors, Fur Formation clay				69.5	9805183		Streptomyces sp. NBC_01318	2903823	8421
GCF_035975855.1	Denmark: Ejerslev, Nykoebing Mors, Fur Formation clay				70	10989260		Streptomyces sp. NBC_01304	2903818	9645
GCF_035983595.1	Denmark: Birkeroed, Raavaenget 34, near Sct. Hansurt 1				71	10608739		Streptomyces sp. NBC_01334	2903827	9044
GCF_035988225.1	Denmark: Livoe, old tree				70.5	10321034		Streptomyces sp. NBC_01243	2903796	8652
GCF_035988865.1	Denmark: Livoe, old tree				70	9069560		Streptomyces sp. NBC_01240	2903793	7669
GCF_035989285.1	Denmark: Ejerslev, Nykoebing Mors, Fur Formation clay				71	11090044		Streptomyces sp. NBC_01235	2903788	9305
GCF_035991205.1	Denmark: Livoe, old stables				71.5	9766476		Streptomyces zaomyceticus	68286	8518
GCF_036002945.1	Denmark: Knudsoe, mossy forest soil				69.5	10014434		Streptomyces sp. NBC_01224	2903783	8473
GCF_036006205.1	Denmark: Roemoe, riverbank				73	6900143		Streptomyces xinghaiensis	1038928	5647
GCF_036010345.1	Denmark: Aebleoe, Alongside main hiking trail				70.5	8432930		Streptomyces sp. NBC_01208	2903773	7279
GCF_036010505.1	Denmark: Havnestranden dunes, Anholt, soil under Ammophila arenaria				70	7708294		Streptomyces sp. NBC_01197	2903768	6768
GCF_036010605.1	United Kingdom: Scotland, Edinburgh, Botanical gardens				70	11051430		Streptomyces sp. NBC_00145	2975666	9643
GCF_036010645.1	Denmark: Hoersholm, Deer feeding station near old CFB building in Hoersholm				70.5	10076411		Streptomyces sp. NBC_00053	2975631	8461
GCF_036013645.1	Germany: Buhl, Compost heap				70.5	10798493		Streptomyces sp. NBC_00490	2903657	9564
GCF_036013815.1	Denmark: Hilleroed, Garden; pile of trees and branches				71	9265987		Streptomyces decoyicus	249567	7912
GCF_036014015.1	Spain: Pollenca				70	10802565		Streptomyces sp. NBC_00457	2975748	9540
GCF_036014075.1	Spain: Mallorca, Pollenca				71	9003480		Streptomyces violaceus	1936	7799
GCF_036014115.1	Denmark: Dyrehaven, Grassy field just inside entrance				72.5	9648495		Streptomyces sp. NBC_00448	2903652	7992
GCF_036014135.1	Spain: Pollenca				70	11121119		Streptomyces sp. NBC_00445	2975745	9846
GCF_036035005.1	Germany: Buhl, Compost heap				72	9485507		Streptomyces zaomyceticus	68286	8226
GCF_036048035.1	Germany: Baiersbronn / Baden-Wuerttem, grassy slope				71	8490789		Streptomyces sp. NBC_00400	2975737	7162
GCF_036061255.1	Germany: Baiersbronn / Baden-Wuerttem, near tree stump, with nearby small plants rather than grass				71	6859429		Streptomyces sp. NBC_00388	2975735	5939
GCF_036077095.1	Germany: Baiersbronn / Baden-Wuerttem, grassy area, close to T1				70.5	10042916		Streptomyces sp. NBC_00376	2975730	8507
GCF_036082875.1	Germany: Baiersbronn / Baden-Wuerttem, grassy slope				70	11114350		Streptomyces sp. NBC_00371	2975729	9670
GCF_036101175.1	Denmark: Hilleroed, Olivier s garden; where birds go poop				72	8381442		Streptomyces coelicoflavus	285562	7397
GCF_036108815.1	Germany: Baiersbronn / Baden-Wuerttem, grassy slope				69.5	9848962		Streptomyces sp. NBC_00353	2975722	8390
GCF_036124195.1	Germany: Baiersbronn / Baden-Wuerttem, grassy area, close to T1				71.5	8770135		Streptomyces caniferus	285557	7403
GCF_036158715.1	Germany: Baiersbronn / Baden-Wuerttem, grassy area, close to T1				70	9468941		Streptomyces sp. NBC_00316	2975710	7918
GCF_036172715.1	Denmark: Holte, Flower bed just outside train/bus staion				71	9287515		Streptomyces bobili	67280	8016
GCF_036173105.1	Spain: Andratx				70	9642853		Streptomyces sp. NBC_00287	2975702	8482
GCF_036174265.1	United Kingdom: Scotland, Edinburgh, Colton Hill				70	10309750		Streptomyces sp. NBC_00285	2975700	9109
GCF_036177905.1	Denmark: Hoersholm, Deer feeding station near old CFB building in Hoersholm				70	10825738		Streptomyces canus	58343	9365
GCF_036178845.1	Germany: Baiersbronn / Baden-Wuerttem, grassy slope				70	12278258		Streptomyces sp. NBC_00271	2975697	10577
GCF_036178885.1	Germany: Baiersbronn / Baden-Wurttem, grassy slope				71.5	8971606		Streptomyces caniferus	285557	7668
GCF_036178905.1	Germany: Baiersbronn / Baden-Wuerttem, grassy slope				70	10967080		Streptomyces sp. NBC_00269	2975696	9549
GCF_036188265.1	Denmark: Lyngby, Small hill with plants just outside CFB (DTU campus). Plants were all very dark green. Soil clearly had lots of nutrients				71.5	7336920		Streptomyces sp. NBC_00247	2975689	6062
GCF_036190545.1	Denmark: Hilleroed, Olivier s garden; a pot where he grew pot several years ago				72.5	7637261		Streptomyces griseoaurantiacus	68213	6531
GCF_036191345.1	Denmark: Hilleroed, Olivier s garden; where his cat goes to the toilet				71.5	7626967		Streptomyces sp. NBC_00441	2975742	6663
GCF_036192275.1	Finland: Helsinki, At base of Helsinki cathedral				71.5	9270399		Streptomyces sp. NBC_00250	2903641	8057
GCF_036202585.1	Denmark: Birkeroed, Next to farm near Hoersholm				70	12198498		Streptomyces mirabilis	68239	10575
GCF_036205185.1	Denmark: Lyngby Soe, Under a log near the water				70.5	8400290		Streptomyces sp. NBC_00184	2975673	7088
GCF_036226365.1	Denmark: Tranekaer, wet forest soil near alpaca farm				70.5	9736065		Streptomyces sp. NBC_01262	2903803	8712
GCF_036226385.1	Denmark: Livoe, old tree				70	11585837		Streptomyces sp. NBC_01261	2903802	9944
GCF_036226425.1	Denmark: Trelde Naes				71.5	8867118		Streptomyces caniferus	285557	7491
GCF_036226445.1	Denmark: Moensted, Moensted open limestone mine				71.5	8571085		Streptomyces sp. NBC_01255	2903798	7525
GCF_036226665.1	USA: Alameda, California, backyard; strawberry plants				72	8336306		Streptomyces sp. NBC_00691	2903671	7263
GCF_036226705.1	USA: Alameda, California, Pep s backyard; strawberry plants				71	10012265		Streptomyces pseudovenezuelae	67350	8638
GCF_036226845.1	Denmark: Lyngby, Inside CfB; potted plant by red sofas just outside our 3rd floor office				71	10029205		Streptomyces pseudovenezuelae	67350	8693
GCF_036226885.1	USA: Alameda, California, Pep s backyard; strawberry plants				70.5	9992462		Streptomyces sp. NBC_00663	2975801	8772
GCF_036226905.1	USA: Alameda, California, Pep s backyard; strawberry plants				71	10195533		Streptomyces pseudovenezuelae	67350	8882
GCF_036226925.1	USA: Alameda, California, backyard; strawberry plants				71	9661321		Streptomyces sp. NBC_00659	2903669	8158
GCF_036226985.1	Netherlands: Hegelsom, >40 year old dung pit				71	7940178		Streptomyces sp. NBC_01685	2975910	6988
GCF_036227225.1	Denmark: Lyngby Aamose, Aamose4, Polypody & cattail riverside (6cm)				70.5	12124816		Streptomyces sp. NBC_01478	2903882	10445
GCF_036227265.1	Denmark: Birkeroed, Raavaenget 34, near Rose Barkarole				71.5	8397038		Streptomyces sp. NBC_01476	2903881	7032
GCF_036227285.1	Denmark: Slagelse, Charlottedal Alle				70.5	10907629		Streptomyces canus	58343	9487
GCF_036227405.1	Denmark: Slagelse, Charlottedal Alle				71	8801236		Streptomyces sp. NBC_01460	2903875	7612
GCF_036227425.1	Denmark: Trelde Naes, 40				71	9639990		Streptomyces sp. NBC_01456	2975868	8355
GCF_036227465.1	Denmark: Trelde Naes				70	9265359		Streptomyces sp. NBC_01453	2903873	8064
GCF_036227485.1	Denmark: Jelling, next to pond				70.5	10266650		Streptomyces sp. NBC_01451	2903872	8760
GCF_036227565.1	Denmark: Trelde Naes, 40				71.5	9461481		Streptomyces sp. NBC_01454	2975867	8115
GCF_036231355.1	Denmark: Boersmose				70.5	8976559		Streptomyces sp. NBC_01431	2903863	7846
GCF_036231945.1	Denmark: Oerkenen, Anholt, yellow sand				71.5	8078361		Streptomyces sp. NBC_01429	2903862	6815
GCF_036232025.1	Denmark: Naerum, Naerum 3, soil near anthill entrance, <5 cm deep				71	7998430		Streptomyces sp. NBC_01422	2903859	7094
GCF_036237235.1	Denmark: Moens Klint, forest above cliff				70	10293779		Streptomyces sp. NBC_01356	2903836	8939
GCF_036238395.1	Germany: Dorsten, Germany, Compost pile				73.5	6978313		Streptomyces albidoflavus	1886	5912
GCF_036239155.1	Germany: Dorsten, Germany, Compost pile				73.5	7015337		Streptomyces albidoflavus	1886	5953
GCF_036240795.1	Germany: Essen, Germany, Compost pile				72.5	8505003		Streptomyces sp. NBC_01268	2903806	7376
GCF_036241575.1	Denmark: Livoe, old tree				70	8069363		Streptomyces sp. NBC_01267	2903805	6950
GCF_036243435.1	Denmark: Lyngby, Inside CfB; potted plant by red sofas just outside our 3rd floor office				71	9858584		Streptomyces pseudovenezuelae	67350	8527
GCF_036243495.1	Denmark: Technical University of Denmark campus, inside, potted plant				71	9165939		Streptomyces luteogriseus	68233	7944
GCF_036243895.1	Denmark: Koelstrup, Next to a field and a road				71	8050796		Streptomyces sp. NBC_01725	2975923	6719
GCF_036247045.1	Denmark: Koelstrup, Next to a field and a road				73.5	7036030		Streptomyces albidoflavus	1886	5948
GCF_036248275.1	Denmark: Jaegerspris slot, grassy wetland				70	8672617		Streptomyces sp. NBC_01716	2975917	7416
GCF_036248315.1	Netherlands: Hegelsom, Ploughed and fertilized land (no crops)				70	12275813		Streptomyces mirabilis	68239	10644
GCF_036248545.1	Netherlands: Hegelsom, Chicken field				71	8081901		Streptomyces sp. NBC_01708	2975915	7142
GCF_036250085.1	Netherlands: Hegelsom, Chicken field				71.5	7764320		Streptomyces sp. NBC_01696	2975913	6823
GCF_036250695.1	Denmark: Filsoe, mossy soil under dead tree				71.5	9081801		Streptomyces sp. NBC_01497	2903885	7274
GCF_036250835.1	Denmark: Bukkemose, young forest soil				70.5	9970855		Streptomyces sp. NBC_01362	2903839	8569
GCF_036287475.1	Belgium			soil	71	9116509		Streptomyces iakyrus	68219	8138
GCF_036345035.1	Denmark: Lyngby, Inside CfB; potted plant by red sofas just outside our 3rd floor office				71	10170903		Streptomyces pseudovenezuelae	67350	8806
GCF_036345075.1	Denmark: Hilleroed, Olivier s garden; where his cat goes to the toilet				70	11075804		Streptomyces sp. NBC_00589	2975785	9543
GCF_036345095.1	Denmark: Lyngby, Inside CfB; potted plant by red sofas just outside our 3rd floor office				70.5	9409010		Streptomyces sp. NBC_00588	2975784	8435
GCF_036345115.1	Denmark: Lyngby, Inside CfB; potted plant by red sofas just outside our 3rd floor office				71	9740744		Streptomyces griseorubiginosus	67304	8557
GCF_036345135.1	Denmark: Lyngby, Inside CfB; potted plant by red sofas just outside our 3rd floor office				71	9802609		Streptomyces griseorubiginosus	67304	8641
GCF_036345175.1	USA: Alameda, California, yard; next to rose bush				69.5	10972925		Streptomyces sp. NBC_00576	2903665	9162
GCF_036345955.1	USA: Alameda, California, Pep s frontyard; next to middle rose bush				69.5	9910889		Streptomyces sp. NBC_00562	2975777	8502
GCF_036346555.1	Germany: Buehl, Compost heap				71.5	8880487		Streptomyces anulatus	1892	7563
GCF_036346595.1	USA: Alameda, California, yard; next to rose bush				72	7102204		Streptomyces sp. NBC_00525	2903660	6083
GCF_036346815.1	USA: Alameda, California, yard; next to rose bush				72	8509353		Streptomyces murinus	33900	7269
GCF_036346995.1	Denmark: Copenhagen, Frederiksberg park #1				70.5	10229135		Streptomyces sp. NBC_00825	2975844	8795
GCF_036347015.1	Denmark: Copenhagen, Frederiksberg park #1				70.5	10229834		Streptomyces sp. NBC_00822	2975843	8790
GCF_036347095.1	USA: Alameda, California, Pep s frontyard; next to middle rose bush				73	7415499		Streptomyces griseoaurantiacus	68213	6339
GCF_036347135.1	Denmark: Hilleroed, Olivier s garden; where his cat goes to the toilet				70	11096612		Streptomyces sp. NBC_00775	2975828	9552
GCF_036347155.1	USA: Alameda, California, yard; next to rose bush				73	8145377		Streptomyces longwoodensis	68231	6928
GCF_036347195.1	Denmark: Hoersholm, Raspberry bush on the way to CFB building in Hoersholm				69.5	9524224		Streptomyces sp. NBC_00724	2975812	8189
GCF_036347215.1	Denmark: Lyngby, Inside CfB; potted plant by red sofas just outside our 3rd floor office				71	9165964		Streptomyces luteogriseus	68233	7942
GCF_036541045.1	China: Jilin			soil	72	7581398		Streptomyces prasinus	67345	6104
GCF_900078265.1	Portugal	Bovine		milk	36	2275139		Streptococcus agalactiae	1311	2079
GCF_900086555.1					49	2188497		Neisseria weaveri	28091	1988
GCF_900187085.1	Germany	Mongolian Jird		Oropharnynges	42	2384128		Streptococcus merionis	400065	2111
GCF_900187275.1		Porcine			40.5	2270953		Pasteurella multocida	747	2041
GCF_900474905.1	Denmark: Copenhagen	not available		not available: to be reported later	35.5	2063270		Streptococcus agalactiae	1311	1932
GCF_900636375.1	United Kingdom: Weybridge	not available		not available: to be reported later	36	2265974		Streptococcus agalactiae	1311	2085
GCF_900638315.1		Human (Female)		wound	40.5	2317054		Pasteurella multocida subsp. septica	115545	2057
GCF_900638415.1		not available		not available: to be reported later	35.5	2032876		Streptococcus agalactiae	1311	1891
GCF_900638685.1	Sweden: Gothenberg	Homo sapiens		wound	49	2238481		Neisseria weaveri	28091	2013
GCF_904066215.1	Algeria			valley	70	3457093		Microbacterium sp. Nx66	2766784	3303
GCF_904440635.1	Algeria			soil	71.5	7838151		Streptomyces sp. KY70	2772432	6734
GCF_904440645.1	Algeria			soil	71.5	7837660		Streptomyces sp. KY75	2772433	6771
GCF_947311705.1	Switzerland			grassland soil	73.5	7136301		Streptomyces albidoflavus	1886	5853
GCF_949789875.1	Sweden	Bos taurus		bovine milk	36	2334948		Streptococcus agalactiae	1311	2199
GCF_949790945.1	Sweden	Bos taurus		bovine milk	35.5	2181100		Streptococcus agalactiae	1311	2089
GCF_949793775.1	Sweden	Bos taurus		bovine milk	35.5	2160706		Streptococcus agalactiae	1311	2020
GCF_963668705.1	USA	Metopus sp. strain SALT15A		Ciliate: Metopus sp. strain SALT15A	47.5	2711999		Thiomicrorhabdus sp.	2039724	2538
GCF_000006825.1					40.5	2257487		Pasteurella multocida subsp. multocida str. Pm70	272843	2026
GCF_000013265.1					50.5	5179971		Escherichia coli UTI89	364106	4756
GCF_000014845.1				lesion site (lung) of a dead turkey with colibacillosis	50.5	5497653		Escherichia coli APEC O1	405955	5104
GCF_000025745.1					50.5	5108383		Escherichia coli IHE3034	714962	4732
GCF_000026285.1					50.5	5166121		Escherichia coli S88	585035	4775
GCF_000091305.1					71.5	10148695		Streptomyces scabiei 87.22	680198	8613
GCF_000147815.2	Missing				71	11138313		Streptomyces violaceusniger Tu 4113	653045	9135
GCF_000148585.2					40.5	1868883		Streptococcus mitis NCTC 12261	246201	1665
GCF_000148605.1					50.5	5107563		Escherichia coli UM146	869729	4566
GCF_000255915.1					40	2407578		Pasteurella multocida subsp. multocida str. HN06	1132496	2222
GCF_000259545.1		pig		lung of animal with pneumonia	40.5	2378127		Pasteurella multocida subsp. multocida str. 3480	584721	2137
GCF_000261345.2	China: Hubei, Qianjiang			soil	71.5	7783599		Streptomyces globisporus C-1027	1172567	6782
GCF_000328545.1	USA				33.5	2894276		Thermoanaerobacterium thermosaccharolyticum M0795	698948	2792
GCF_000348565.1					59.5	3857040		Edwardsiella piscicida C07-087	1288122	3398
GCF_000427075.1					35.5	2109759		Streptococcus agalactiae ILRI005	1309807	1963
GCF_000493595.2					50.5	5210927		Escherichia coli PMV-1	1382700	4774
GCF_000495635.2	Norway: Trondheim fjord	Phakellia ventilabrum		sponge	73	7223458		Streptomyces sp. GBA 94-10 4N24	1218177	5988
GCF_000521765.1	USA: Nebraska	Bos taurus			41	2443169		Bibersteinia trehalosi USDA-ARS-USMARC-190	1263832	2164
GCF_000709535.1					51.5	4394500		Salmonella bongori serovar 48:z41:-- str. RKS3044	1382510	3846
GCF_000761215.1	India: Haiderabad/Hindustan			soil	73	7623774		Streptomyces glaucescens	1907	6462
GCF_000772045.1	USA			soil	72	8274043		Streptomyces sp. CCM_MD2014	1561022	7286
GCF_000802245.2	Malaysia			mangrove	70	7346075		Streptomyces pluripotens	1355015	6176
GCF_000816465.3	Malaysia			mangrove	70	7586568		Streptomyces pluripotens	1355015	6373
GCF_000968515.1	missing	Homo sapiens		urine	51	5196066		Escherichia coli VR50	941323	4731
GCF_001021595.1					50.5	5002781		Escherichia coli	562	4587
GCF_001266755.1	Chile: Atacama Desert, Alto Andino				68	3634864		Microbacterium sp. CGR1	1696072	3448
GCF_001278075.1	China:Shanghai			chemical and physical mutagen treatment of ATCC 25486	71.5	8532592		Streptomyces pristinaespiralis	38300	7217
GCF_001280325.1	USA: San Francisco	Homo sapiens	bloodstream infection	patient blood	50.5	5206997		Escherichia coli	562	4791
GCF_001280345.1	USA: San Francisco	Homo sapiens	bloodstream infection	patient blood	50.5	5358643		Escherichia coli	562	5024
GCF_001280385.1	USA: San Francisco	Homo sapiens	bloodstream infection	patient blood	50.5	5025183		Escherichia coli	562	4574
GCF_001280405.1	USA: San Francisco	Homo sapiens	bloodstream infection	patient blood	50.5	5152806		Escherichia coli	562	4739
GCF_001578435.2					40.5	2315138		Pasteurella multocida subsp. multocida PMTB2.1	1455592	2087
GCF_001592705.1	Canada: Toronto	Homo sapiens	Legionnaires' disease	lung isolate	38.5	3573898		Legionella pneumophila subsp. pneumophila	91891	3112
GCF_001602095.1	China	marmota	unknown		40	1829936		Helicobacter himalayensis	1591088	1683
GCF_001660585.1	USA: Massachusetts, Boston	Mus musculus		gut flora of female BALB/c mice (Charles River Laboratories)	50.5	5074819		Escherichia coli	562	4613
GCF_001670425.2	China: Hainan	duck		liver	40.5	2310077		Pasteurella multocida subsp. multocida	44283	2082
GCF_001870085.1	USA: Tulsa			turkey	30	1799846		Campylobacter jejuni	197	1774
GCF_001870105.1	USA: Tulsa			chicken Gizzard	30	1812854		Campylobacter jejuni	197	1776
GCF_001874445.1	Iran	bovine	Pasteurellosis	vaccine	40.5	2360663		Pasteurella multocida	747	2074
GCF_001889345.1	Not Available			Not Available	28	3867627		Clostridium botulinum	1491	3414
GCF_001956795.1					40.5	2325026		Pasteurella multocida subsp. multocida str. HN07	1436299	2102
GCF_001975955.2	Ukraine: trench T22, Chernobyl exclusion zone			radionuclide-contaminated soil	69	2996750		Microbacterium oleivorans	273677	2865
GCF_001999985.1	USA				35	2620399		Helicobacter bilis	37372	2313
GCF_002009175.1	China: South China Sea			deep sea sediment	70.5	7990492		Streptomyces niveus	193462	6824
GCF_002024865.1	USA	Homo sapiens	Urinary tract infection	urine	50.5	5076615		Escherichia coli NU14	569579	4645
GCF_002059225.1	France: Pays de la Loire	Oryctolagus cuniculus	Pasteurellosis	lung	40.5	2463037		Pasteurella multocida subsp. multocida	44283	2262
GCF_002068175.1	France: Pays de la Loire	Oryctolagus cuniculus	Pasteurellosis	lung	40.5	2480901		Pasteurella multocida subsp. septica	115545	2226
GCF_002073255.2	USA:MD	Environment	Septicaemia due to fowl cholera	turkey	40.5	2335516		Pasteurella multocida	747	2114
GCF_002082195.1	China:Shandong			soil	71	8482298		Streptomyces gilvosporeus	553510	7319
GCF_002162175.1	USA:Kansas	Bos taurus	pneumonia		37	2110642		Histophilus somni	731	1829
GCF_002162195.1	USA:Kansas	Bos taurus	pneumonia		37.5	2183391		Histophilus somni	731	1913
GCF_002162215.1	USA:Kansas	Bos taurus	pneumonia		37.5	2183505		Histophilus somni	731	1915
GCF_002162235.1	USA:Kansas	Bos taurus	pneumonia		37.5	2183439		Histophilus somni	731	1912
GCF_002162255.1	USA:Kansas	Bos taurus	pneumonia		37.5	2183418		Histophilus somni	731	1908
GCF_002162275.1	USA:Kansas	Bos taurus	pneumonia		37	2110610		Histophilus somni	731	1829
GCF_002162295.1	USA:Kansas	Bos taurus	pneumonia		37.5	2183430		Histophilus somni	731	1912
GCF_002209045.1	USA:VA	Homo sapiens	Human campylobacteriosis	human	30.5	1696130		Campylobacter jejuni	197	1633
GCF_002215095.1	USA	Gallus gallus domesticus	Peritonitis	peritoneal cavity	50.5	5035255		Escherichia coli	562	4553
GCF_002240035.1	USA: Ohio	Homo sapiens	Legionnaires' Disease	Bronchial Wash	39.5	3272100		Legionella clemsonensis	1867846	2863
GCF_002285755.1	Australia: Brisbane	Homo sapiens			50.5	5221926		Escherichia coli	562	4801
GCF_002288075.1	USA: Wisconsin	Hymenochaete rubiginosa			73.5	7232701		Streptomyces sp. CLI2509	1984801	5962
GCF_002327185.1	missing	Bos taurus	Blackleg	missing	28.5	2872664		Clostridium chauvoei	46867	2581
GCF_002327205.1	Germany: Lower Saxony	Bos taurus	Blackleg	tissue samples	28.5	2889569		Clostridium chauvoei	46867	2581
GCF_002407125.1	USA:CA		missing	chicken breast	30.5	1782911		Campylobacter jejuni	197	1751
GCF_002796585.1	missing	missing	missing	missing	50.5	5139469		Escherichia coli	562	4780
GCF_002832675.1	China: Xiaoping Island, Dalian, Liaoning			marine sediment	71.5	7614683		Streptomyces sp. S063	2005885	6243
GCF_002844685.1	China:Shandong	Duck		Whole blood of a duck with colibacillosis	50.5	5433619		Escherichia coli	562	4981
GCF_002846135.1	Qatar	Homo sapiens	NA	Respiratory secretions	50.5	5595419		Escherichia coli	562	5170
GCF_002865765.1	Mauritius			Not Available	28.5	3917597		Clostridium botulinum	1491	3477
GCF_002946835.1	China: Dengpa District, Tibet Autonomous Region			soil	70	8710171		Streptomyces dengpaensis	2049881	7626
GCF_002953435.1	China:Shenzhen	Homo sapiens	diarrhea	faecal sample	50.5	5554216		Escherichia coli	562	5111
GCF_003003955.1	USA: Arizona, Phoenix	Homo sapiens		not applicable	38.5	3487066		Legionella pneumophila subsp. fraseri	91892	3005
GCF_003019315.1	Not determined	Homo sapiens		Peri-renal abscess	29.5	2716766		Fusobacterium mortiferum ATCC 9817	469616	2606
GCF_003020885.1	Slovakia	Homo sapiens		urine	50.5	5292507		Escherichia coli	562	4908
GCF_003061385.1	China: Yunnan, PuEr City, SiMao District			Rodent	40.5	2305006		Pasteurella multocida	747	2089
GCF_003074735.2	USA	Tilapia			59.5	3839754		Edwardsiella piscicida	1263550	3318
GCF_003074775.2	USA	Ictalurus punctatus			60	3768776		Edwardsiella piscicida	1263550	3262
GCF_003076395.1	China: Hangzhou	Homo sapiens	missing	bile	50.5	5342679		Escherichia coli	562	4912
GCF_003112995.3	USA	Ictalurus punctatus			59.5	3819770		Edwardsiella piscicida	1263550	3304
GCF_003113095.2	USA	Ictalurus punctatus			59.5	3887760		Edwardsiella piscicida	1263550	3381
GCF_003330845.1	Ethiopia: Gode region			soil	72	8570609		Streptomyces sp. Go-475	2072505	7429
GCF_003344465.1	USA: Nashville, TN	Homo sapiens	Neonatal bacterial meningitis	CSF	50.5	5042521		Escherichia coli	562	4599
GCF_003346835.1	United Kingdom	Homo sapiens	screen	rectal swab	50.5	5313245		Escherichia coli	562	4749
GCF_003368205.1	Finland	Homo sapiens			30.5	1567232		Campylobacter jejuni	197	1524
GCF_003425445.1	Spain:Catalunya	Homo sapiens	COPD	sputum	38	1838740		Haemophilus influenzae	727	1678
GCF_003425625.1	Spain:Catalunya	Homo sapiens	COPD	sputum	38	1833305		Haemophilus influenzae	727	1658
GCF_003425645.1	Spain:Catalunya	Homo sapiens	COPD	sputum	38	1908143		Haemophilus influenzae	727	1801
GCF_003425815.1	Spain:Catalunya	Homo sapiens	COPD	sputum	38	1840062		Haemophilus influenzae	727	1676
GCF_003433515.1	South Korea: Cheju Island			Lava	52.5	3703346		Maritalea myrionectae	454601	3634
GCF_003443735.1	China: Tianjin			marine mud	70.5	9320089		Streptomyces sp. CC0208	2306165	8145
GCF_003571685.1	missing	missing	missing	missing	51	5481110		Escherichia coli	562	4995
GCF_003665435.1	China:Tianjing	Pig			72	7667496		Streptomyces fungicidicus	68203	6679
GCF_003697165.2	N/A				50.5	5034834		Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775	866789	4621
GCF_003932965.1	Not applicable			cheese	63	4085228		Brevibacterium aurantiacum	273384	3644
GCF_003963535.1	China:Hunan			soil	70.5	10677137		Streptomyces cyaneochromogenes	2496836	9150
GCF_003971585.1	Germany: Goettingen	Homo sapiens	diarrhea	stool	30	1817819		Campylobacter jejuni subsp. jejuni	32022	1778
GCF_004328885.1	Brazil: state Rio Grande do Sul	cattle			28.5	2883701		Clostridium chauvoei	46867	2581
GCF_004353225.1	Germany:Kiel			Water from the baltic sea	53.5	3721518		Marinobacter sp. JH2	2547598	3306
GCF_004792555.1	China:Fujian	duck			40.5	2346198		Pasteurella multocida	747	2066
GCF_004792575.1	China: Fujian	duck			40.5	2319415		Pasteurella multocida	747	2086
GCF_004792595.1	China:Fujian	duck			40.5	2309977		Pasteurella multocida	747	2075
GCF_004792615.1	China: Hainan	goose			40.5	2243763		Pasteurella multocida	747	2002
GCF_004792635.1	China:Fujian	duck			40.5	2325022		Pasteurella multocida	747	2084
GCF_004803895.1	USA: Hawaii				71	8876928		Streptomyces hawaiiensis	67305	7735
GCF_007197595.1	South Korea			soil	50.5	5126771		Shigella flexneri	623	4684
GCF_007289895.1	South Korea: Incheon			Sea	41	4868003		Catenovulum sediminis	1740262	3943
GCF_007833255.1	China: Jiangxi province	Swine		blood from piglet with acute sepsis	50.5	5412194		Escherichia coli	562	5004
GCF_007833295.1	China: Anhui province	Dairy cow		milk from dairy cow with acute mastitis	50.5	5386935		Escherichia coli	562	4979
GCF_008085695.1	Canada: Alberta	Cattle		tissue sample from feedlot cattle	37	2110618		Histophilus somni	731	1830
GCF_008085735.1	Canada: Alberta	Cattle		tissue sample from feedlot cattle	37	2110633		Histophilus somni	731	1833
GCF_008085755.1	Canada: Alberta	Cattle		tissue sample from feedlot cattle	37	2110625		Histophilus somni	731	1832
GCF_008085795.1	Canada: Alberta	Cattle		tissue sample from feedlot cattle	37	2110643		Histophilus somni	731	1835
GCF_008085815.1	Canada: Alberta	Cattle		tissue sample from feedlot cattle	37	2110646		Histophilus somni	731	1834
GCF_008085835.1	Canada: Alberta	Cattle		tissue sample from feedlot cattle	37	2110678		Histophilus somni	731	1839
GCF_008086425.1	Canada: Alberta	Cattle		tissue sample from feedlot cattle	37.5	2183401		Histophilus somni	731	1937
GCF_008087605.1	Canada: Alberta	Cattle		tissue sample from feedlot cattle	37	2110695		Histophilus somni	731	1852
GCF_008124085.1	missing			mouse gut	50.5	5109630		Escherichia coli O2:H6	1502658	4671
GCF_008632595.1	China:Nanjing	chicken			50.5	5517367		Escherichia coli	562	5083
GCF_008632955.1	China: Sichuan			soil	72	7343456		Streptomyces tendae	1932	6320
GCF_008704715.1	missing			soil	71	9912098		Streptomyces chartreusis	1969	8522
GCF_008931805.1	missing			seawater	40.5	4760425		Moritella marina ATCC 15381	1202962	4067
GCF_009498375.1	USA: Iowa			Meleagris gallopavo	30	1858258		Campylobacter jejuni subsp. jejuni	32022	1853
